PASSENGER_STATUS,PASSENGER_SEAT_ID,PASSENGER_SEAT_REGION,PASSENGER_CLASS,PASSENGER_AGE,PASSENGER_SEX,PASSENGER_EXIT,SEAT_EXIT_AVAILABLE,SEATING_TYPE,SEAT_RESTRAINT_TYPE,SEAT_ORIENTATION,SEAT_EXIT_PROXIMITY,PASSENGER_RELATION,FATALITY_CAUSE,INJURY_CAUSE,FUSELAGE_RUPTURE,FIRE_PRESENCE,CREW_PROXIMITY_OPERATIONAL_COUNT,CREW_OPERATIONAL_PER_REGION,EVENT_DATE,LOCATION,COUNTRY,ACCIDENT_TYPE,LATITUDE,LONGITUDE,AIRCRAFT_DAMAGE,MODEL,AIR_CARRIER,TOTAL_FATALITIES,TOTAL_SERIOUS_INJURIES,TOTAL_MINOR_INJURIES,TOTAL_UNINJURED,WEATHER_CONDITION,BROAD_PHASE_OF_FLIGHT,REPORT_STATUS,SEAT_MODEL,SEAT_WIDTH,SEAT_PITCH,SEAT_PER_CLASS,SEATS_PER_MODEL
unoccupied,1A,FWD-PRT,business_class,unknown,unknown,passenger_door_front_prt,0,16G-nonfire,lapbelt,forward,1.2,,none,unknown,1,1,1,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,21,37,12,124
unoccupied,1B,FWD-PRT,business_class,,,passenger_door_front_prt,0,16G-nonfire,lapbelt,forward,1.1,,none,unknown,1,1,1,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,21,37,12,124
unoccupied,1C,FWD-SBD,business_class,,,service_door_front_sbd,1,16G-nonfire,lapbelt,forward,1.1,,none,unknown,1,1,1,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,21,37,12,124
unoccupied,1D,FWD-SBD,business_class,,,service_door_front_sbd,1,16G-nonfire,lapbelt,forward,1.2,,none,unknown,1,1,1,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,21,37,12,124
unoccupied,2A,FWD-PRT,business_class,,,passenger_door_front_prt,0,16G-nonfire,lapbelt,forward,2.2,,none,unknown,1,1,1,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,21,37,12,124
injury_major,2B,FWD-PRT,business_class,unknown,unknown,passenger_door_front_prt,0,16G-nonfire,lapbelt,forward,2.1,,none,smoke_inhalation,1,1,1,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,21,37,12,124
fatality,2C,FWD-SBD,business_class,,,service_door_front_sbd,1,16G-nonfire,lapbelt,forward,2.1,,asphyxiation,fatality,1,1,2,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,21,37,12,124
fatality,2D,FWD-SBD,business_class,,,service_door_front_sbd,1,16G-nonfire,lapbelt,forward,2.2,,asphyxiation,fatality,1,1,2,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,21,37,12,124
fatality,3A,FWD-PRT,economy,,,passenger_door_front_prt,0,16G-nonfire,lapbelt,forward,3.3,,asphyxiation,fatality,1,1,2,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
fatality,3B,FWD-PRT,economy,,,passenger_door_front_prt,0,16G-nonfire,lapbelt,forward,3.2,,asphyxiation,fatality,1,1,2,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
fatality,3C,FWD-PRT,economy,,,passenger_door_front_prt,0,16G-nonfire,lapbelt,forward,3.1,,asphyxiation,fatality,1,1,2,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
unoccupied,3D,FWD-SBD,economy,,,service_door_front_sbd,1,16G-nonfire,lapbelt,forward,3.1,,none,unknown,0,1,2,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
fatality,3E,FWD-SBD,economy,,,service_door_front_sbd,1,16G-nonfire,lapbelt,forward,3.2,,asphyxiation,fatality,0,1,3,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
fatality,3F,FWD-SBD,economy,,,service_door_front_sbd,1,16G-nonfire,lapbelt,forward,3.3,,asphyxiation,fatality,0,1,3,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
fatality,4A,FWD-PRT,economy,,,passenger_door_front_prt,0,16G-nonfire,lapbelt,forward,4.3,,asphyxiation,fatality,1,1,3,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
fatality,4B,FWD-PRT,economy,,,passenger_door_front_prt,0,16G-nonfire,lapbelt,forward,4.2,,asphyxiation,fatality,1,1,3,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
fatality,4C,FWD-PRT,economy,,,passenger_door_front_prt,0,16G-nonfire,lapbelt,forward,4.1,,asphyxiation,fatality,1,1,3,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
injury_major,4D,FWD-SBD,economy,unknown,unknown,service_door_front_sbd,1,16G-nonfire,lapbelt,forward,4.1,,none,smoke_inhalation,0,1,3,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
injury_major,4E,FWD-SBD,economy,unknown,unknown,service_door_front_sbd,1,16G-nonfire,lapbelt,forward,4.2,,none,smoke_inhalation,0,1,4,1,1/02/91,LAX,USA,Runway incursion,33.9425N, 118.4081W,destroyed,737-300,USAir,20,13,17,37, VMC , LANDING ,Probable Cause ,124,17.2,30.5,94,124
